"x","y","X202312"
-81.4098975679118,15.6644102389022,-9999
-80.9607399258529,15.6644102389022,-9999
-80.5115822837941,15.6644102389022,-9999
-80.0624246417353,15.6644102389022,-9999
-79.6132669996765,15.6644102389022,-9999
-79.1641093576176,15.6644102389022,-9999
-78.7149517155588,15.6644102389022,-9999
-78.2657940735,15.6644102389022,-9999
-77.8166364314412,15.6644102389022,-9999
-77.3674787893824,15.6644102389022,-9999
-76.9183211473235,15.6644102389022,-9999
-76.4691635052647,15.6644102389022,-9999
-76.0200058632059,15.6644102389022,-9999
-75.5708482211471,15.6644102389022,-9999
-75.1216905790882,15.6644102389022,-9999
-74.6725329370294,15.6644102389022,-9999
-74.2233752949706,15.6644102389022,-9999
-73.7742176529118,15.6644102389022,-9999
-73.3250600108529,15.6644102389022,-9999
-72.8759023687941,15.6644102389022,-9999
-72.4267447267353,15.6644102389022,-9999
-71.9775870846765,15.6644102389022,-9999
-71.5284294426177,15.6644102389022,-9999
-71.0792718005588,15.6644102389022,-9999
-70.6301141585,15.6644102389022,-9999
-70.1809565164412,15.6644102389022,-9999
-69.7317988743823,15.6644102389022,-9999
-69.2826412323235,15.6644102389022,-9999
-68.8334835902647,15.6644102389022,-9999
-68.3843259482059,15.6644102389022,-9999
-67.935168306147,15.6644102389022,-9999
-67.4860106640882,15.6644102389022,-9999
-67.0368530220294,15.6644102389022,-9999
-81.4098975679118,15.215252596837,-9999
-80.9607399258529,15.215252596837,-9999
-80.5115822837941,15.215252596837,-9999
-80.0624246417353,15.215252596837,-9999
-79.6132669996765,15.215252596837,-9999
-79.1641093576176,15.215252596837,-9999
-78.7149517155588,15.215252596837,-9999
-78.2657940735,15.215252596837,-9999
-77.8166364314412,15.215252596837,-9999
-77.3674787893824,15.215252596837,-9999
-76.9183211473235,15.215252596837,-9999
-76.4691635052647,15.215252596837,-9999
-76.0200058632059,15.215252596837,-9999
-75.5708482211471,15.215252596837,-9999
-75.1216905790882,15.215252596837,-9999
-74.6725329370294,15.215252596837,-9999
-74.2233752949706,15.215252596837,-9999
-73.7742176529118,15.215252596837,-9999
-73.3250600108529,15.215252596837,-9999
-72.8759023687941,15.215252596837,-9999
-72.4267447267353,15.215252596837,-9999
-71.9775870846765,15.215252596837,-9999
-71.5284294426177,15.215252596837,-9999
-71.0792718005588,15.215252596837,-9999
-70.6301141585,15.215252596837,-9999
-70.1809565164412,15.215252596837,-9999
-69.7317988743823,15.215252596837,-9999
-69.2826412323235,15.215252596837,-9999
-68.8334835902647,15.215252596837,-9999
-68.3843259482059,15.215252596837,-9999
-67.935168306147,15.215252596837,-9999
-67.4860106640882,15.215252596837,-9999
-67.0368530220294,15.215252596837,-9999
-81.4098975679118,14.7660949547717,-9999
-80.9607399258529,14.7660949547717,-9999
-80.5115822837941,14.7660949547717,-9999
-80.0624246417353,14.7660949547717,-9999
-79.6132669996765,14.7660949547717,-9999
-79.1641093576176,14.7660949547717,-9999
-78.7149517155588,14.7660949547717,-9999
-78.2657940735,14.7660949547717,-9999
-77.8166364314412,14.7660949547717,-9999
-77.3674787893824,14.7660949547717,-9999
-76.9183211473235,14.7660949547717,-9999
-76.4691635052647,14.7660949547717,-9999
-76.0200058632059,14.7660949547717,-9999
-75.5708482211471,14.7660949547717,-9999
-75.1216905790882,14.7660949547717,-9999
-74.6725329370294,14.7660949547717,-9999
-74.2233752949706,14.7660949547717,-9999
-73.7742176529118,14.7660949547717,-9999
