x,y,Evap_mm_Mes,Prec_mm_Mes,HumedadSuelo_FracVol_Mes,Taire_Kelvin_Mes,Fecha,Pais,Dpto,Mpio
-75.1216905786111,7.13041503995454,113.776776124723,255.862711463124,0.425362855195999,294.603149414062,2019-06-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,132.7069880208,343.000704422593,0.428252369165421,294.78271484375,2019-07-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,125.600791652687,151.47043671459,0.417310357093811,294.956848144531,2019-08-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,111.806386616081,303.580844309182,0.424835085868835,294.434051513672,2019-09-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,95.319894491695,307.346043409781,0.428159296512604,293.333862304688,2019-10-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,104.694966226816,153.097870177589,0.416776925325394,293.710296630859,2019-11-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,107.416058890522,97.8352701058612,0.402690470218658,294.197174072266,2019-12-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,122.29597591795,32.1642722992693,0.37628236413002,294.402526855469,2020-01-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,113.304520840757,27.1065664419438,0.332185059785843,295.425537109375,2020-02-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,88.6520349886269,54.774182382971,0.30772876739502,295.030456542969,2020-03-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,101.937795756385,217.428399715573,0.381700754165649,295.167907714844,2020-04-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,107.836790615693,266.4191192016,0.403017044067383,295.642761230469,2020-05-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,127.186970436014,295.013619353995,0.424556255340576,294.813293457031,2020-06-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,121.131170075387,373.904127627612,0.429265022277832,294.31591796875,2020-07-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,121.044191066176,277.326196432114,0.426226675510406,294.678192138672,2020-08-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,114.472447894514,345.286826603114,0.42912095785141,294.070129394531,2020-09-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,108.210911625065,410.694702062756,0.42983940243721,294.320068359375,2020-10-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,107.698156032711,340.395935811101,0.427363932132721,294.08154296875,2020-11-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,123.770668054931,100.344478734769,0.401589810848236,294.933715820312,2020-12-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,130.471578449942,67.3780433717183,0.365533500909805,295.216339111328,2021-01-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,105.459653539583,81.1117922421544,0.332551658153534,295.533569335938,2021-02-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,101.28235083539,221.181585453451,0.382739961147308,294.931518554688,2021-03-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,111.338789574802,393.194231204687,0.425853818655014,295.553405761719,2021-04-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,134.651210275479,342.391059268266,0.427461177110672,296.173278808594,2021-05-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,126.59836281091,324.267553165554,0.427905440330505,295.621887207031,2021-06-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,159.040194237605,310.505482368172,0.424647152423859,296.840972900391,2021-07-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,129.966027103364,354.771385900677,0.42821940779686,295.479461669922,2021-08-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,140.417162328959,299.799935426563,0.424795746803284,295.590911865234,2021-09-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,105.397879960947,310.568132903426,0.425847947597504,294.319885253906,2021-10-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,111.409398727119,204.610688611865,0.416235357522964,293.954223632812,2021-11-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,103.629652527161,108.086214051582,0.407584547996521,293.997009277344,2021-12-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,117.257360368967,27.1837056207004,0.377584636211395,294.225646972656,2022-01-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,125.05745573435,146.069883252494,0.367973029613495,294.674560546875,2022-02-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,90.3793943580241,179.875533096492,0.378546357154846,294.168395996094,2022-03-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,89.1057515982538,346.710853278637,0.421998858451843,293.860290527344,2022-04-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,103.730766568333,344.399044755846,0.430177807807922,294.342254638672,2022-05-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,102.463026763871,301.928940927611,0.428275138139725,293.497344970703,2022-06-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,151.051081717014,287.411254132165,0.425268054008484,293.585510253906,2022-07-01,Colombia,Antioquia,Anorí
-75.1216905786111,7.13041503995454,117.351675638929,393.795314244927,0.429759800434113,294.003784179688,2022-08-01,Colombia,Antioquia,Anorí
